"gcm","scenario","year","dist","q05","q17","q50","q83","q95","mean"
"CESM2-WACCM","ssp126",2020,"prior",-0.454181295935609,0.485028876263239,1.64239427526078,2.57121349061702,3.23566502507947,1.54032659806753
"CESM2-WACCM","ssp126",2020,"posterior",0.53419481873371,1.27218658529926,2.15290996664916,2.99188890956781,3.57162804649308,2.12111157958233
"MRI-ESM2-0","ssp126",2020,"prior",1.8439816509765,2.47102984247308,3.47561682872281,4.68196063485336,5.53942651809075,3.56100781628165
"MRI-ESM2-0","ssp126",2020,"posterior",2.14321938043422,2.76615398210029,3.76550508102816,4.85679557160998,5.60924052311543,3.80754546056711
"EC-Earth3-Veg","ssp126",2020,"prior",0.0200996984191697,0.723512414738534,1.74230314265906,2.93600274255162,3.76696223018041,1.80539341088069
"EC-Earth3-Veg","ssp126",2020,"posterior",0.682406478340134,1.34608853030346,2.4122494485638,3.47407675744473,4.14667282937277,2.40641316988995
"MIROC-ES2L","ssp126",2020,"prior",2.7733962904327,3.89756959995314,6.15258413459629,9.73585414889559,11.4929987721822,6.62421214040539
"MIROC-ES2L","ssp126",2020,"posterior",2.84760791022024,3.73942656596223,5.14283862932728,6.93423205374583,8.52742064042664,5.33835889977398
"ALL (uniform GCM prior)","ssp126",2020,"prior",0.226668446206394,1.21176621712216,2.79679810870119,5.34511717842152,9.37903113245437,3.38273499140882
"ALL (uniform GCM prior)","ssp126",2020,"posterior",0.978910781835563,1.81787625642088,3.16680661775339,4.99836324889066,6.70540923733954,3.41835727745338
"CESM2-WACCM","ssp534-over",2020,"prior",-0.454017962271215,0.48520007087636,1.64257464888575,2.57139282794385,3.23585668082515,1.54051656573962
"CESM2-WACCM","ssp534-over",2020,"posterior",0.534378363691427,1.27238519344885,2.15309828820957,2.99209190864404,3.57182144106367,2.12130487472171
"MRI-ESM2-0","ssp534-over",2020,"prior",1.86943975665988,2.49734909738011,3.50234927400888,4.71358111171293,5.57297163392489,3.58947203352129
"MRI-ESM2-0","ssp534-over",2020,"posterior",2.16797998594556,2.79447432321521,3.79234153597755,4.88829391968925,5.64443791815839,3.83668991234188
"EC-Earth3-Veg","ssp534-over",2020,"prior",-0.0207355260932708,0.684889579217528,1.70646416587126,2.90542160122613,3.74098160449607,1.77031898332221
"EC-Earth3-Veg","ssp534-over",2020,"posterior",0.644399759754735,1.31120455868149,2.37514779964751,3.44370695860575,4.12311488895069,2.3734049409538
"MIROC-ES2L","ssp534-over",2020,"prior",2.91784184726653,4.04485395552106,6.30935662089109,9.9075216994622,11.6704370137713,6.78326267916016
"MIROC-ES2L","ssp534-over",2020,"posterior",2.99215583077587,3.88508047840749,5.29387118322248,7.09335386002253,8.69904129625922,5.49242969469142
"ALL (uniform GCM prior)","ssp534-over",2020,"prior",0.20751327192573,1.19430150362976,2.81172007680855,5.44361180562576,9.54721046459873,3.42089256543582
"ALL (uniform GCM prior)","ssp534-over",2020,"posterior",0.964296072465379,1.80664335864753,3.18316060163838,5.09243838257444,6.86138530494908,3.45595735567723
"CESM2-WACCM","ssp585",2020,"prior",-0.57102415683034,0.371733804071845,1.5607679365995,2.54544284511675,3.26802569311616,1.47250361737916
"CESM2-WACCM","ssp585",2020,"posterior",0.398129801200972,1.17069717219139,2.08097206957932,3.0026787566835,3.58945472034667,2.06540844830179
"MRI-ESM2-0","ssp585",2020,"prior",2.00826786622443,2.65923047944195,3.7267162414931,5.10026140540643,6.09958117264665,3.85221346644951
"MRI-ESM2-0","ssp585",2020,"posterior",2.32022721266407,2.95768292743576,4.03539002484936,5.30337763856299,6.19783985117629,4.12040042089242
"EC-Earth3-Veg","ssp585",2020,"prior",-0.340302550366928,0.377402538145824,1.44862368843491,2.76642167935714,3.70047439402747,1.54884514071615
"EC-Earth3-Veg","ssp585",2020,"posterior",0.323602094204297,1.01826131347963,2.17604802265757,3.38025155583552,4.10458961532449,2.18560723781583
"MIROC-ES2L","ssp585",2020,"prior",2.58611477968192,3.6198035604,5.59137375407891,8.79004722695865,10.4870741861247,6.04386967953964
"MIROC-ES2L","ssp585",2020,"posterior",2.65154416407144,3.47690403590553,4.74058210632153,6.26298716046193,7.69163173246268,4.89081563625314
