"year","term","fraction"
2020,"gcm",0.551188122377452
2020,"scenario",0.00211245975928635
2020,"gcm:scenario",0.0148520942706307
2020,"Residuals",0.43184732359263
2025,"gcm",0.600054209511016
2025,"scenario",0.000738582228385868
2025,"gcm:scenario",0.013420257832009
2025,"Residuals",0.385786950428589
2030,"gcm",0.622476572864365
2030,"scenario",0.00416678221901094
2030,"gcm:scenario",0.0164708846376257
2030,"Residuals",0.356885760278998
2035,"gcm",0.638469258481034
2035,"scenario",0.00227734707300277
2035,"gcm:scenario",0.0108555078414613
2035,"Residuals",0.348397886604502
2040,"gcm",0.643870613087192
2040,"scenario",0.00392713374821158
2040,"gcm:scenario",0.0101434604060443
2040,"Residuals",0.342058792758552
2045,"gcm",0.61765848169554
2045,"scenario",0.000887284886018429
2045,"gcm:scenario",0.00683439583332951
2045,"Residuals",0.374619837585112
2050,"gcm",0.604287439496515
2050,"scenario",0.000142110305171802
2050,"gcm:scenario",0.00440008935524044
2050,"Residuals",0.391170360843073
2055,"gcm",0.58283947084682
2055,"scenario",0.000338543529551695
2055,"gcm:scenario",0.00600933156330527
2055,"Residuals",0.410812654060323
2060,"gcm",0.552560392419746
2060,"scenario",0.000637565901288284
2060,"gcm:scenario",0.00838325017318351
2060,"Residuals",0.438418791505783
2065,"gcm",0.520936041069973
2065,"scenario",0.0015420670229679
2065,"gcm:scenario",0.00820905864916011
2065,"Residuals",0.469312833257899
2070,"gcm",0.497021885761441
2070,"scenario",0.00246759904515059
2070,"gcm:scenario",0.00736458417304953
2070,"Residuals",0.493145931020359
2075,"gcm",0.469006575577072
2075,"scenario",0.0040682017959718
2075,"gcm:scenario",0.00965037486757122
2075,"Residuals",0.517274847759385
2080,"gcm",0.448200464761974
2080,"scenario",0.0052463932315377
2080,"gcm:scenario",0.0109531271660525
2080,"Residuals",0.535600014840436
2085,"gcm",0.429972181889426
2085,"scenario",0.00939807990724089
2085,"gcm:scenario",0.0153852313491043
2085,"Residuals",0.545244506854229
2090,"gcm",0.413285801586094
2090,"scenario",0.0139045412762329
2090,"gcm:scenario",0.0181370410300038
2090,"Residuals",0.554672616107669
2095,"gcm",0.394239306980388
2095,"scenario",0.0184898685345694
2095,"gcm:scenario",0.0234207912481786
2095,"Residuals",0.563850033236864
2100,"gcm",0.371998078492754
2100,"scenario",0.0267389629552434
2100,"gcm:scenario",0.0260573551291002
2100,"Residuals",0.575205603422902
2105,"gcm",0.358428143416637
2105,"scenario",0.0361385240980927
2105,"gcm:scenario",0.0298114155613706
2105,"Residuals",0.5756219169239
2110,"gcm",0.341374009900576
2110,"scenario",0.0504332763374548
2110,"gcm:scenario",0.0339689962670778
2110,"Residuals",0.574223717494892
2115,"gcm",0.322882447712167
2115,"scenario",0.0661038919477435
2115,"gcm:scenario",0.0379044299094001
2115,"Residuals",0.573109230430689
2120,"gcm",0.303609912166508
2120,"scenario",0.0882108651258473
2120,"gcm:scenario",0.0397537871524594
2120,"Residuals",0.568425435555186
2125,"gcm",0.283583367301805
2125,"scenario",0.109324714883568
2125,"gcm:scenario",0.0412501527405301
2125,"Residuals",0.565841765074097
2130,"gcm",0.26481764670595
2130,"scenario",0.132914365342382
2130,"gcm:scenario",0.0431490140168007
2130,"Residuals",0.559118973934867
2135,"gcm",0.248607873700686
2135,"scenario",0.155076081889109
2135,"gcm:scenario",0.0436676881828318
2135,"Residuals",0.552648356227374
2140,"gcm",0.232617380320247
2140,"scenario",0.178846257853905
2140,"gcm:scenario",0.043945715603334
2140,"Residuals",0.544590646222514
2145,"gcm",0.219268788453229
2145,"scenario",0.202169436671305
2145,"gcm:scenario",0.043736711060391
2145,"Residuals",0.534825063815076
2150,"gcm",0.207196924098057
2150,"scenario",0.224549313927624
2150,"gcm:scenario",0.0437292067414127
2150,"Residuals",0.524524555232906
2155,"gcm",0.195881375265843
2155,"scenario",0.246447773324911
2155,"gcm:scenario",0.0447396264651662
2155,"Residuals",0.51293122494408
2160,"gcm",0.186158426899957
2160,"scenario",0.267643580888089
