"scenario","year","term","fraction"
"ssp126",2020,"gcm",0.554334478713477
"ssp126",2020,"Residuals",0.445665521286523
"ssp126",2025,"gcm",0.618029931152238
"ssp126",2025,"Residuals",0.381970068847762
"ssp126",2030,"gcm",0.689293304460644
"ssp126",2030,"Residuals",0.310706695539356
"ssp126",2035,"gcm",0.696421286113226
"ssp126",2035,"Residuals",0.303578713886774
"ssp126",2040,"gcm",0.696502754879388
"ssp126",2040,"Residuals",0.303497245120612
"ssp126",2045,"gcm",0.669667426301656
"ssp126",2045,"Residuals",0.330332573698344
"ssp126",2050,"gcm",0.638751104901465
"ssp126",2050,"Residuals",0.361248895098535
"ssp126",2055,"gcm",0.634280209244067
"ssp126",2055,"Residuals",0.365719790755933
"ssp126",2060,"gcm",0.614155024996106
"ssp126",2060,"Residuals",0.385844975003894
"ssp126",2065,"gcm",0.578044602331526
"ssp126",2065,"Residuals",0.421955397668474
"ssp126",2070,"gcm",0.559722906365588
"ssp126",2070,"Residuals",0.440277093634412
"ssp126",2075,"gcm",0.521654990606688
"ssp126",2075,"Residuals",0.478345009393312
"ssp126",2080,"gcm",0.498425981004432
"ssp126",2080,"Residuals",0.501574018995568
"ssp126",2085,"gcm",0.473998276164767
"ssp126",2085,"Residuals",0.526001723835233
"ssp126",2090,"gcm",0.462379985168815
"ssp126",2090,"Residuals",0.537620014831185
"ssp126",2095,"gcm",0.42937139912397
"ssp126",2095,"Residuals",0.57062860087603
"ssp126",2100,"gcm",0.410737718534957
"ssp126",2100,"Residuals",0.589262281465043
"ssp126",2105,"gcm",0.398381898636176
"ssp126",2105,"Residuals",0.601618101363824
"ssp126",2110,"gcm",0.380571734342893
"ssp126",2110,"Residuals",0.619428265657107
"ssp126",2115,"gcm",0.368541610537619
"ssp126",2115,"Residuals",0.631458389462381
"ssp126",2120,"gcm",0.357930866034946
"ssp126",2120,"Residuals",0.642069133965054
"ssp126",2125,"gcm",0.348387437657227
"ssp126",2125,"Residuals",0.651612562342773
"ssp126",2130,"gcm",0.342585172798665
"ssp126",2130,"Residuals",0.657414827201335
"ssp126",2135,"gcm",0.340890631219699
"ssp126",2135,"Residuals",0.659109368780301
"ssp126",2140,"gcm",0.337921202051373
"ssp126",2140,"Residuals",0.662078797948627
"ssp126",2145,"gcm",0.333352969156446
"ssp126",2145,"Residuals",0.666647030843554
"ssp126",2150,"gcm",0.330333005197436
"ssp126",2150,"Residuals",0.669666994802564
"ssp126",2155,"gcm",0.32515573508512
"ssp126",2155,"Residuals",0.67484426491488
"ssp126",2160,"gcm",0.322458376053868
"ssp126",2160,"Residuals",0.677541623946132
"ssp126",2165,"gcm",0.321348765614993
"ssp126",2165,"Residuals",0.678651234385007
"ssp126",2170,"gcm",0.323891328909721
"ssp126",2170,"Residuals",0.676108671090279
"ssp126",2175,"gcm",0.329721423248426
"ssp126",2175,"Residuals",0.670278576751574
"ssp126",2180,"gcm",0.331610126546845
"ssp126",2180,"Residuals",0.668389873453155
"ssp126",2185,"gcm",0.331535078399285
"ssp126",2185,"Residuals",0.668464921600715
"ssp126",2190,"gcm",0.332024264145458
"ssp126",2190,"Residuals",0.667975735854542
"ssp126",2195,"gcm",0.332542927679283
"ssp126",2195,"Residuals",0.667457072320717
"ssp126",2200,"gcm",0.335461118045679
"ssp126",2200,"Residuals",0.664538881954321
"ssp126",2205,"gcm",0.336485013113552
"ssp126",2205,"Residuals",0.663514986886448
"ssp126",2210,"gcm",0.338198664934887
"ssp126",2210,"Residuals",0.661801335065113
"ssp126",2215,"gcm",0.33504026073393
"ssp126",2215,"Residuals",0.66495973926607
"ssp126",2220,"gcm",0.336122260931924
"ssp126",2220,"Residuals",0.663877739068076
"ssp126",2225,"gcm",0.337046873146626
"ssp126",2225,"Residuals",0.662953126853374
"ssp126",2230,"gcm",0.336482631054528
"ssp126",2230,"Residuals",0.663517368945472
"ssp126",2235,"gcm",0.338569229362182
"ssp126",2235,"Residuals",0.661430770637818
"ssp126",2240,"gcm",0.340763084507364
"ssp126",2240,"Residuals",0.659236915492636
"ssp126",2245,"gcm",0.34209263114544
"ssp126",2245,"Residuals",0.65790736885456
"ssp126",2250,"gcm",0.343719571409674
"ssp126",2250,"Residuals",0.656280428590326
"ssp126",2255,"gcm",0.344860818583106
"ssp126",2255,"Residuals",0.655139181416894
"ssp126",2260,"gcm",0.345983607649916
"ssp126",2260,"Residuals",0.654016392350084
"ssp126",2265,"gcm",0.348228020401986
"ssp126",2265,"Residuals",0.651771979598014
"ssp126",2270,"gcm",0.352959542447183
"ssp126",2270,"Residuals",0.647040457552817
"ssp126",2275,"gcm",0.355960145815823
"ssp126",2275,"Residuals",0.644039854184177
"ssp126",2280,"gcm",0.356626204103762
"ssp126",2280,"Residuals",0.643373795896238
"ssp126",2285,"gcm",0.357366533873045
"ssp126",2285,"Residuals",0.642633466126955
"ssp126",2290,"gcm",0.35970798171297
"ssp126",2290,"Residuals",0.64029201828703
"ssp126",2295,"gcm",0.361139040791862
"ssp126",2295,"Residuals",0.638860959208138
"ssp126",2300,"gcm",0.363368402087615
"ssp126",2300,"Residuals",0.636631597912385
"ssp534-over",2020,"gcm",0.60027399299852
"ssp534-over",2020,"Residuals",0.39972600700148
