"scenario","year","input","S","T"
"ssp126",2020,"aPhi",0.025725097626088,0.0584569104435066
"ssp126",2020,"n",-0.00626727805587561,0.0123826578361894
"ssp126",2020,"m",-0.00314867520741155,0.0192220128888086
"ssp126",2020,"uf",-0.0101065964466062,0.00357831413965093
"ssp126",2020,"gamma",0.0687327979920327,0.276083434345867
"ssp126",2020,"UMV",-0.0105256233084118,0.00318952453588084
"ssp126",2020,"forcing",0.647196940880753,0.879309963108108
"ssp126",2025,"aPhi",0.0163229849372419,0.0426330189155071
"ssp126",2025,"n",-0.00735239464462692,0.00748729081094901
"ssp126",2025,"m",-0.00266568233013379,0.0171881586843049
"ssp126",2025,"uf",-0.00949061576804376,0.00268090562978074
"ssp126",2025,"gamma",0.076553339188937,0.255392302887881
"ssp126",2025,"UMV",-0.00993323574189499,0.00212066667243049
"ssp126",2025,"forcing",0.686339300397129,0.888820670678361
"ssp126",2030,"aPhi",0.0129990005856912,0.0357783494798053
"ssp126",2030,"n",-0.00704050162341232,0.0056847330531481
"ssp126",2030,"m",-0.00213694894422427,0.0158121586936505
"ssp126",2030,"uf",-0.00850805170891565,0.00227939502087582
"ssp126",2030,"gamma",0.089970798833354,0.244754283937776
"ssp126",2030,"UMV",-0.00902475376561552,0.00159109269542423
"ssp126",2030,"forcing",0.704976578899617,0.88253903145096
"ssp126",2035,"aPhi",0.0126872098910834,0.0335874726612562
"ssp126",2035,"n",-0.00654251972220088,0.00501845813392898
"ssp126",2035,"m",-0.00190298633015354,0.0146654960163173
"ssp126",2035,"uf",-0.00768635876369326,0.00201159037169729
"ssp126",2035,"gamma",0.104892396653809,0.240040454456845
"ssp126",2035,"UMV",-0.00825418735211127,0.00123685722174982
"ssp126",2035,"forcing",0.71271146345629,0.869858696303054
"ssp126",2040,"aPhi",0.0111493794371051,0.030582822286696
"ssp126",2040,"n",-0.00625811822764035,0.00468459436656554
"ssp126",2040,"m",-0.0020276438779507,0.0135180657312157
"ssp126",2040,"uf",-0.00728221994754484,0.00181423145216053
"ssp126",2040,"gamma",0.111977761682183,0.233227517225822
"ssp126",2040,"UMV",-0.00785107238390651,0.000998145845019116
"ssp126",2040,"forcing",0.723400320797948,0.865537881896841
"ssp126",2045,"aPhi",0.0142594811367542,0.0323622657159017
"ssp126",2045,"n",-0.00532803488346789,0.00459445289124982
"ssp126",2045,"m",-0.00212458840869285,0.0116786157991113
"ssp126",2045,"uf",-0.00602106014669922,0.00154150307015188
"ssp126",2045,"gamma",0.146177226121799,0.24212339929401
"ssp126",2045,"UMV",-0.00658825022536366,0.000672129532939825
"ssp126",2045,"forcing",0.714165903238725,0.829708512949205
"ssp126",2050,"aPhi",0.0163059421853027,0.03347733788902
"ssp126",2050,"n",-0.00458980301301828,0.00476819396467087
"ssp126",2050,"m",-0.00215091381750318,0.0102837207952915
"ssp126",2050,"uf",-0.00506469947789189,0.00135123001365778
"ssp126",2050,"gamma",0.173458368443721,0.250731521315702
"ssp126",2050,"UMV",-0.00553124412101584,0.000460812745586514
"ssp126",2050,"forcing",0.705562635458662,0.801066186026803
"ssp126",2055,"aPhi",0.018839522650346,0.0353779835959271
"ssp126",2055,"n",-0.00374436775193756,0.0051437900860507
"ssp126",2055,"m",-0.0018961342234696,0.00931539081731081
"ssp126",2055,"uf",-0.00400506212104815,0.00127967773376791
"ssp126",2055,"gamma",0.202236044120404,0.265050191760958
"ssp126",2055,"UMV",-0.00435736894054703,0.000360968486932123
"ssp126",2055,"forcing",0.690128217539084,0.770166039345961
"ssp126",2060,"aPhi",0.0203385783046751,0.0364516833873164
"ssp126",2060,"n",-0.00308188473953726,0.00575298465470531
"ssp126",2060,"m",-0.00203422323001727,0.00816865019133839
"ssp126",2060,"uf",-0.00333601795554934,0.00119821733584635
"ssp126",2060,"gamma",0.226726785433652,0.277727627250089
"ssp126",2060,"UMV",-0.00351450623546431,0.000289696020047692
"ssp126",2060,"forcing",0.677364063657563,0.743903432261534
"ssp126",2065,"aPhi",0.0203002957992327,0.0362231322963347
"ssp126",2065,"n",-0.00262490012403103,0.00659603435360423
"ssp126",2065,"m",-0.00264895613735536,0.00703516532500004
"ssp126",2065,"uf",-0.00329457016479894,0.00111457150884409
"ssp126",2065,"gamma",0.240303721797081,0.284515587565228
"ssp126",2065,"UMV",-0.00331900125050626,0.000250101100709221
"ssp126",2065,"forcing",0.671691871104047,0.729267794497182
"ssp126",2070,"aPhi",0.0205547225448965,0.0363527801124649
"ssp126",2070,"n",-0.00208975145119305,0.0074180484601073
"ssp126",2070,"m",-0.00292250844469714,0.00636010692830047
"ssp126",2070,"uf",-0.0031674546593419,0.00108405543359691
"ssp126",2070,"gamma",0.252123680205001,0.291745753138717
"ssp126",2070,"UMV",-0.00307169009684482,0.000241306912268424
"ssp126",2070,"forcing",0.664762914605945,0.716142719846037
"ssp126",2075,"aPhi",0.020416016842364,0.0362405599595119
"ssp126",2075,"n",-0.00156912885295752,0.00844405540356419
"ssp126",2075,"m",-0.00338387412929622,0.00571145287484998
"ssp126",2075,"uf",-0.00327540490152904,0.00105685215170215
"ssp126",2075,"gamma",0.261539885674182,0.297914897628769
"ssp126",2075,"UMV",-0.00306703216431691,0.000237161225286275
"ssp126",2075,"forcing",0.659014739202216,0.705300638178355
"ssp126",2080,"aPhi",0.0204922412992423,0.0364727508073485
"ssp126",2080,"n",-0.00102173883731309,0.00957104871749637
"ssp126",2080,"m",-0.00372532725993805,0.00523440871322178
"ssp126",2080,"uf",-0.00335277190878029,0.00104925754854412
"ssp126",2080,"gamma",0.271982448475156,0.305380278117693
"ssp126",2080,"UMV",-0.00299449355701653,0.000255246272729992
"ssp126",2080,"forcing",0.651463281061086,0.692963172640233
"ssp126",2085,"aPhi",0.0200366144296858,0.0360596036763117
"ssp126",2085,"n",-0.000364067239077947,0.0107676266464858
"ssp126",2085,"m",-0.00405716024691844,0.0049337170138698
"ssp126",2085,"uf",-0.00357450071805929,0.00104852786888388
"ssp126",2085,"gamma",0.276808062554806,0.309016088334635
"ssp126",2085,"UMV",-0.00315444547649383,0.000257535630041605
"ssp126",2085,"forcing",0.648020977434419,0.686723811510197
"ssp126",2090,"aPhi",0.0197354402959283,0.0358709925709647
"ssp126",2090,"n",0.000404324328933434,0.0121505930313942
"ssp126",2090,"m",-0.00430359246267985,0.00475532083287655
"ssp126",2090,"uf",-0.00377615387340105,0.00106746430845217
"ssp126",2090,"gamma",0.283100796800281,0.314192645740997
"ssp126",2090,"UMV",-0.00327948528243114,0.000270155638871783
"ssp126",2090,"forcing",0.64262767097757,0.678530756506572
"ssp126",2095,"aPhi",0.0189852027397509,0.0352414760030937
"ssp126",2095,"n",0.00115651435450031,0.0135569904370738
"ssp126",2095,"m",-0.00463319431014654,0.00470407638643622
"ssp126",2095,"uf",-0.00415463383269061,0.00108755290213292
"ssp126",2095,"gamma",0.284842467130569,0.315894438813241
"ssp126",2095,"UMV",-0.00364586936179278,0.000265669322740636
"ssp126",2095,"forcing",0.64086955030373,0.675255272181169
"ssp126",2100,"aPhi",0.0183449402785338,0.0347704605367949
"ssp126",2100,"n",0.00186485768260431,0.0149123596073043
"ssp126",2100,"m",-0.00489655018598536,0.00477813315026687
"ssp126",2100,"uf",-0.00451681997255656,0.00112967184944013
"ssp126",2100,"gamma",0.286995056330337,0.318215721259303
"ssp126",2100,"UMV",-0.00401460083551149,0.000263281691369244
"ssp126",2100,"forcing",0.638220325680146,0.671477914303049
"ssp126",2105,"aPhi",0.0177173611512659,0.0342506117227461
"ssp126",2105,"n",0.00266441385560371,0.016303371101946
"ssp126",2105,"m",-0.00505421748530113,0.00495587646312134
"ssp126",2105,"uf",-0.00483989601547889,0.00117592598441685
"ssp126",2105,"gamma",0.288303291434284,0.319821162917054
"ssp126",2105,"UMV",-0.00436175879319969,0.000257740065715772
"ssp126",2105,"forcing",0.636156024335165,0.668557207372816
"ssp126",2110,"aPhi",0.0172623035082884,0.0339589794990413
"ssp126",2110,"n",0.00337940613242358,0.0176112446074267
"ssp126",2110,"m",-0.00515328567638309,0.00525792421803339
"ssp126",2110,"uf",-0.00513761481097583,0.00126741139601139
"ssp126",2110,"gamma",0.291585744400932,0.323583804265518
"ssp126",2110,"UMV",-0.00472712467840321,0.000254144093788655
"ssp126",2110,"forcing",0.631626090113884,0.663474464053749
"ssp126",2115,"aPhi",0.0167728477997037,0.0336223505982035
"ssp126",2115,"n",0.00410029613723222,0.0189111028773253
"ssp126",2115,"m",-0.00520217479625219,0.00564726532211068
"ssp126",2115,"uf",-0.00543015106714558,0.00137159901004213
"ssp126",2115,"gamma",0.294126808798765,0.326726584406643
"ssp126",2115,"UMV",-0.0051064042375201,0.000252813834604182
"ssp126",2115,"forcing",0.627629276537042,0.659169055886493
"ssp126",2120,"aPhi",0.0163206665128493,0.0332836072121137
"ssp126",2120,"n",0.00475839362655157,0.0200746209280178
"ssp126",2120,"m",-0.00519874661128111,0.00611209635691845
"ssp126",2120,"uf",-0.0056888967930804,0.00150395294689432
"ssp126",2120,"gamma",0.296586294344972,0.329965168696649
"ssp126",2120,"UMV",-0.00550749332298561,0.00025006861811383
"ssp126",2120,"forcing",0.62346804255388,0.655091908618792
"ssp126",2125,"aPhi",0.0157666554353032,0.032916994384045
"ssp126",2125,"n",0.00543973755127359,0.0213619442384962
"ssp126",2125,"m",-0.00518327154168264,0.00669192703628474
"ssp126",2125,"uf",-0.0059905958218427,0.00166060380503807
"ssp126",2125,"gamma",0.298541799761067,0.332778328667549
"ssp126",2125,"UMV",-0.00595194721766987,0.000262669682238093
"ssp126",2125,"forcing",0.619550730231356,0.651332092763225
"ssp126",2130,"aPhi",0.0152807199175817,0.0325790441061976
"ssp126",2130,"n",0.00620217302045241,0.0227050667714863
"ssp126",2130,"m",-0.00506201630411102,0.00736286226727678
"ssp126",2130,"uf",-0.00623702232610281,0.0018345595199476
"ssp126",2130,"gamma",0.300773256547031,0.335840452202968
"ssp126",2130,"UMV",-0.00635452937617958,0.000281687494827043
"ssp126",2130,"forcing",0.615204555485067,0.647158046119503
"ssp126",2135,"aPhi",0.0149272909030668,0.0323351282167528
"ssp126",2135,"n",0.00691358920060233,0.0239134151741984
"ssp126",2135,"m",-0.0048644461987737,0.00805154581638745
"ssp126",2135,"uf",-0.00640662946944549,0.00201844889569669
"ssp126",2135,"gamma",0.303433739161232,0.339261300306853
"ssp126",2135,"UMV",-0.0066900912371437,0.000306719949219159
"ssp126",2135,"forcing",0.610457185600505,0.642631309566128
"ssp126",2140,"aPhi",0.0146618674993684,0.032159281073427
"ssp126",2140,"n",0.00760862206424125,0.0250694977395591
"ssp126",2140,"m",-0.00459165677061863,0.00880871837425001
"ssp126",2140,"uf",-0.00652172214463354,0.00223304513547451
"ssp126",2140,"gamma",0.306761861129533,0.343371718894902
"ssp126",2140,"UMV",-0.0070016698119481,0.000341787219530487
"ssp126",2140,"forcing",0.604886298997645,0.637376063352252
"ssp126",2145,"aPhi",0.0146061743942744,0.032182978950854
"ssp126",2145,"n",0.00826801469579997,0.0261452819491165
"ssp126",2145,"m",-0.00419721909715803,0.0096366047837465
"ssp126",2145,"uf",-0.00654030392043413,0.00248491547720786
"ssp126",2145,"gamma",0.311950222547223,0.349254169981671
"ssp126",2145,"UMV",-0.00723431440886034,0.000391560672993174
"ssp126",2145,"forcing",0.59734460269898,0.630065712915052
"ssp126",2150,"aPhi",0.0145030695532089,0.032133863330154
"ssp126",2150,"n",0.0089320390002006,0.0272000617260068
"ssp126",2150,"m",-0.00379244620917534,0.0104734968006491
"ssp126",2150,"uf",-0.00655048277899692,0.0027373419415867
"ssp126",2150,"gamma",0.316222697128198,0.354247051740835
"ssp126",2150,"UMV",-0.00746786270446302,0.000445745151591126
"ssp126",2150,"forcing",0.59072630403939,0.623783662816478
"ssp126",2155,"aPhi",0.014398350203023,0.0320863476081895
"ssp126",2155,"n",0.00962091538067055,0.0282932184958617
"ssp126",2155,"m",-0.00333701018738285,0.0113829372995126
"ssp126",2155,"uf",-0.00654295728606231,0.00301216094975409
"ssp126",2155,"gamma",0.320495337131611,0.359266835394371
"ssp126",2155,"UMV",-0.00769832312489412,0.000511433742295453
"ssp126",2155,"forcing",0.583959313304298,0.617396527288817
"ssp126",2160,"aPhi",0.0143886819969572,0.0320415427490424
"ssp126",2160,"n",0.0103867208086928,0.0293736449638605
"ssp126",2160,"m",-0.00280285956703674,0.0122813322171017
"ssp126",2160,"uf",-0.00646251136524537,0.00327893998501261
"ssp126",2160,"gamma",0.324993918053597,0.364437504635207
"ssp126",2160,"UMV",-0.00786390982220521,0.00057370600109885
"ssp126",2160,"forcing",0.577045426255166,0.610800698507994
"ssp126",2165,"aPhi",0.0144328999367712,0.0320705443251842
"ssp126",2165,"n",0.0109713907627921,0.0302217886797085
"ssp126",2165,"m",-0.00229175090683917,0.0131487226596398
"ssp126",2165,"uf",-0.00634435549132507,0.00357840394940179
"ssp126",2165,"gamma",0.32968526768035,0.369840806565924
"ssp126",2165,"UMV",-0.00802552682938593,0.00065582488326088
"ssp126",2165,"forcing",0.56996529401438,0.604224565879969
"ssp126",2170,"aPhi",0.0143964661091809,0.0320365391984272
"ssp126",2170,"n",0.0114941544694383,0.0310006318476506
"ssp126",2170,"m",-0.00185588777306829,0.0139340182843073
"ssp126",2170,"uf",-0.00625777516379139,0.00384794882338069
"ssp126",2170,"gamma",0.333013512821884,0.373844607364171
"ssp126",2170,"UMV",-0.00818909180155065,0.000737285828257495
"ssp126",2170,"forcing",0.564473312182578,0.599265407701504
"ssp126",2175,"aPhi",0.0144492801160751,0.0319869479773015
"ssp126",2175,"n",0.0121465311937901,0.0318174329897261
"ssp126",2175,"m",-0.00136362362208475,0.014657455719736
"ssp126",2175,"uf",-0.00611379309537993,0.0040775944227146
"ssp126",2175,"gamma",0.336407256182462,0.377787016655528
"ssp126",2175,"UMV",-0.00827663846479144,0.000802300143443846
"ssp126",2175,"forcing",0.559122615695417,0.594274419405734
"ssp126",2180,"aPhi",0.0145906415959736,0.0320564762865143
"ssp126",2180,"n",0.0127646923978704,0.032615477376951
"ssp126",2180,"m",-0.000803642404241364,0.0154510321572554
"ssp126",2180,"uf",-0.00593092951484676,0.00434124495840393
"ssp126",2180,"gamma",0.34090835251871,0.38281018242899
"ssp126",2180,"UMV",-0.00833657775218564,0.000881837563304955
"ssp126",2180,"forcing",0.552534593736171,0.587983172503977
"ssp126",2185,"aPhi",0.014647572942236,0.0320879882920845
"ssp126",2185,"n",0.0132687926603122,0.0333145164369365
"ssp126",2185,"m",-0.000313573723108428,0.0162309052389366
"ssp126",2185,"uf",-0.00576939532514991,0.00462940186322724
"ssp126",2185,"gamma",0.344535259988578,0.387074715903717
"ssp126",2185,"UMV",-0.00844186086361736,0.000982346002702195
"ssp126",2185,"forcing",0.54676338695967,0.582754952754843
"ssp126",2190,"aPhi",0.014922137321918,0.0322921381673991
"ssp126",2190,"n",0.0138390937806655,0.0340323967753238
"ssp126",2190,"m",0.000325153366620685,0.0170539842602487
"ssp126",2190,"uf",-0.00551708869263577,0.00491979115323604
"ssp126",2190,"gamma",0.350205503046303,0.393189037926241
"ssp126",2190,"UMV",-0.00844220303972734,0.00107547049367396
"ssp126",2190,"forcing",0.538998902745195,0.575182328255771
"ssp126",2195,"aPhi",0.0151111721382927,0.0324252540778883
"ssp126",2195,"n",0.0144105676650416,0.0347704391745701
"ssp126",2195,"m",0.000932615342834843,0.017886538197272
"ssp126",2195,"uf",-0.00528483687453233,0.005217975021235
"ssp126",2195,"gamma",0.354958405821869,0.398469242754927
"ssp126",2195,"UMV",-0.00847451280181603,0.0011792745646394
"ssp126",2195,"forcing",0.532076977980683,0.568601079342192
"ssp126",2200,"aPhi",0.0153269610733533,0.0325773172203565
"ssp126",2200,"n",0.0149488572227579,0.0354440499476001
"ssp126",2200,"m",0.00153594567186071,0.0186932771835981
"ssp126",2200,"uf",-0.00502623568388483,0.00552555832882173
"ssp126",2200,"gamma",0.35970685369806,0.403756424938889
"ssp126",2200,"UMV",-0.00849412655057942,0.00129262908043526
"ssp126",2200,"forcing",0.525184109247231,0.562105387875232
"ssp126",2205,"aPhi",0.0156176054075819,0.0327848334431191
"ssp126",2205,"n",0.0155587108722577,0.0361829244698293
"ssp126",2205,"m",0.00223201141558658,0.019571752951087
"ssp126",2205,"uf",-0.0047188454391609,0.00585414596938516
"ssp126",2205,"gamma",0.365237392109758,0.409805515228871
"ssp126",2205,"UMV",-0.00847991310576855,0.00141317619587533
"ssp126",2205,"forcing",0.517372668520772,0.554615531700476
"ssp126",2210,"aPhi",0.0159387428537655,0.0330346540798476
"ssp126",2210,"n",0.0160762392868317,0.0367996479621696
"ssp126",2210,"m",0.00289717715201161,0.0203889800890983
"ssp126",2210,"uf",-0.00439817293700324,0.00618103955306126
"ssp126",2210,"gamma",0.370796196062922,0.41584620953765
"ssp126",2210,"UMV",-0.0084482413893553,0.00153809160590246
"ssp126",2210,"forcing",0.509678413257624,0.547240788272908
"ssp126",2215,"aPhi",0.0162791739535951,0.0332761705857111
"ssp126",2215,"n",0.0166838803983199,0.0374936872704441
"ssp126",2215,"m",0.00359841675472655,0.0212166708712537
"ssp126",2215,"uf",-0.00405948763592233,0.00649799264660922
"ssp126",2215,"gamma",0.37627153746107,0.421785521385658
"ssp126",2215,"UMV",-0.0083959206892477,0.00166010473563083
"ssp126",2215,"forcing",0.502049704265429,0.539886587057506
"ssp126",2220,"aPhi",0.0166356802180903,0.0335706890917012
"ssp126",2220,"n",0.0172657194960629,0.0381935773120072
"ssp126",2220,"m",0.00436161944287106,0.0221545855478339
"ssp126",2220,"uf",-0.00368240248239023,0.00687961677338456
"ssp126",2220,"gamma",0.382293884521637,0.428363721497718
"ssp126",2220,"UMV",-0.00835101455099779,0.00181526099781715
"ssp126",2220,"forcing",0.493574808633316,0.531802822494136
"ssp126",2225,"aPhi",0.0170793073985263,0.0339379394901241
"ssp126",2225,"n",0.017775845663394,0.0387633473469918
"ssp126",2225,"m",0.00511308430808786,0.0229998315848668
"ssp126",2225,"uf",-0.00327977505785586,0.00723726610161168
"ssp126",2225,"gamma",0.388761909968014,0.435264603059174
"ssp126",2225,"UMV",-0.00825809614723246,0.00195887759490598
